customer_id,recency,frequency,monetary,avg_order_value,R_score,F_score,M_score,RFM_score,RFM_composite,segment,cluster,cluster_label
CUST_00001,4,11,7425.01,675.0009090909091,4,4,5,445,4.35,Champions,2,Loyal High-Value
CUST_00002,32,5,758.35,151.67000000000002,2,2,2,222,2.0,About to Sleep,2,Loyal High-Value
CUST_00003,2,24,7864.75,327.6979166666667,5,5,5,555,5.0,Champions,2,Loyal High-Value
CUST_00004,10,11,7828.39,711.6718181818183,3,4,5,345,4.05,Loyal Customers,2,Loyal High-Value
CUST_00005,8,6,2287.87,381.31166666666667,4,3,3,433,3.3,Potential Loyalists,2,Loyal High-Value
CUST_00006,0,30,39777.25,1325.9083333333333,5,5,5,555,5.0,Champions,0,VIP Champions
CUST_00007,723,1,140.3,140.3,1,1,1,111,1.0,Hibernating,1,Regular Customers
CUST_00008,2,13,3465.9199999999996,266.60923076923075,5,4,4,544,4.3,Champions,2,Loyal High-Value
CUST_00009,46,7,2137.21,305.3157142857143,2,3,3,233,2.6999999999999997,At Risk,2,Loyal High-Value
CUST_00010,25,10,3885.8,388.58,2,4,4,244,3.4,Loyal Customers,2,Loyal High-Value
CUST_00011,35,5,1353.18,270.636,2,2,2,222,2.0,About to Sleep,2,Loyal High-Value
CUST_00012,5,15,3988.4,265.8933333333333,4,5,4,454,4.35,Champions,2,Loyal High-Value
CUST_00013,8,7,3563.1099999999997,509.01571428571424,4,3,4,434,3.65,Potential Loyalists,2,Loyal High-Value
CUST_00014,0,24,11694.4,487.26666666666665,5,5,5,555,5.0,Champions,2,Loyal High-Value
CUST_00015,28,7,1032.74,147.53428571428572,2,3,2,232,2.3499999999999996,Regular,2,Loyal High-Value
CUST_00016,7,2,290.39,145.195,4,1,1,411,1.9,New Customers,2,Loyal High-Value
CUST_00017,9,11,7876.49,716.0445454545454,3,4,5,345,4.05,Loyal Customers,2,Loyal High-Value
CUST_00018,40,4,1845.69,461.4225,2,2,3,223,2.3499999999999996,About to Sleep,2,Loyal High-Value
CUST_00019,2,8,6489.96,811.245,5,3,5,535,4.3,Potential Loyalists,2,Loyal High-Value
CUST_00020,28,7,1098.73,156.96142857142857,2,3,2,232,2.3499999999999996,Regular,2,Loyal High-Value
CUST_00021,0,19,12045.12,633.9536842105263,5,5,5,555,5.0,Champions,2,Loyal High-Value
CUST_00022,0,20,25944.18,1297.209,5,5,5,555,5.0,Champions,0,VIP Champions
CUST_00023,2,10,3047.06,304.706,5,4,3,543,3.95,Potential Loyalists,2,Loyal High-Value
CUST_00024,11,5,1425.89,285.178,3,2,2,322,2.3,Regular,2,Loyal High-Value
CUST_00025,2,7,1823.03,260.43285714285713,5,3,3,533,3.5999999999999996,Potential Loyalists,2,Loyal High-Value
CUST_00026,14,1,250.79,250.79,3,1,1,311,1.6,Regular,2,Loyal High-Value
CUST_00027,1,3,163.66,54.553333333333335,5,1,1,511,2.2,New Customers,2,Loyal High-Value
CUST_00028,30,2,1480.87,740.435,2,1,2,212,1.65,About to Sleep,2,Loyal High-Value
CUST_00029,0,19,10905.3,573.9631578947369,5,5,5,555,5.0,Champions,2,Loyal High-Value
CUST_00030,0,32,19830.94,619.716875,5,5,5,555,5.0,Champions,0,VIP Champions
CUST_00031,37,6,2429.75,404.9583333333333,2,3,3,233,2.6999999999999997,At Risk,2,Loyal High-Value
CUST_00032,436,2,148.59,74.295,1,1,1,111,1.0,Hibernating,1,Regular Customers
CUST_00033,2,8,3223.9799999999996,402.99749999999995,5,3,4,534,3.95,Potential Loyalists,2,Loyal High-Value
CUST_00034,0,19,8987.51,473.02684210526314,5,5,5,555,5.0,Champions,2,Loyal High-Value
CUST_00035,1,21,10627.3,506.0619047619047,5,5,5,555,5.0,Champions,2,Loyal High-Value
CUST_00036,426,2,101.4,50.7,1,1,1,111,1.0,Hibernating,1,Regular Customers
CUST_00037,1,39,36578.41,937.9079487179488,5,5,5,555,5.0,Champions,0,VIP Champions
