transaction_id,customer_id,transaction_date,product_category,product_name,quantity,unit_price,total_amount,payment_method,country
TXN_000001,CUST_00001,2025-09-14,Electronics,Electronics Item,2,1375.94,2751.88,PayPal,Australia
TXN_000002,CUST_00001,2025-09-14,Electronics,Electronics Item,2,983.61,1967.22,Credit Card,Australia
TXN_000003,CUST_00001,2025-09-14,Beauty,Beauty Item,1,139.89,139.89,PayPal,Australia
TXN_000004,CUST_00001,2025-10-12,Fashion,Fashion Item,1,176.86,176.86,Debit Card,Australia
TXN_000005,CUST_00001,2026-01-14,Electronics,Electronics Item,1,1368.49,1368.49,Debit Card,Australia
TXN_000006,CUST_00001,2026-02-02,Beauty,Beauty Item,1,49.07,49.07,Credit Card,Australia
TXN_000007,CUST_00001,2025-11-14,Toys,Toys Item,3,129.01,387.03,Debit Card,Australia
TXN_000008,CUST_00001,2025-12-18,Books,Books Item,1,21.66,21.66,Bank Transfer,Australia
TXN_000009,CUST_00001,2025-09-14,Electronics,Electronics Item,1,484.41,484.41,PayPal,Australia
TXN_000010,CUST_00001,2025-10-14,Fashion,Fashion Item,2,20.26,40.52,Apple Pay,Australia
TXN_000011,CUST_00001,2025-09-14,Books,Books Item,1,37.98,37.98,Apple Pay,Australia
TXN_000012,CUST_00002,2025-09-30,Fashion,Fashion Item,1,189.64,189.64,Credit Card,Canada
TXN_000013,CUST_00002,2025-09-06,Beauty,Beauty Item,1,21.6,21.6,PayPal,Canada
TXN_000014,CUST_00002,2026-01-05,Beauty,Beauty Item,2,84.3,168.6,Debit Card,Canada
TXN_000015,CUST_00002,2024-11-03,Sports,Sports Item,1,317.11,317.11,Apple Pay,Canada
TXN_000016,CUST_00002,2024-02-01,Fashion,Fashion Item,1,61.4,61.4,PayPal,Canada
TXN_000017,CUST_00003,2025-06-21,Home & Garden,Home & Garden Item,1,370.66,370.66,Credit Card,USA
TXN_000018,CUST_00003,2026-01-05,Sports,Sports Item,1,143.16,143.16,Apple Pay,USA
TXN_000019,CUST_00003,2026-01-12,Home & Garden,Home & Garden Item,3,636.49,1909.47,Debit Card,USA
TXN_000020,CUST_00003,2026-01-19,Fashion,Fashion Item,1,123.84,123.84,Debit Card,USA
TXN_000021,CUST_00003,2025-12-28,Fashion,Fashion Item,1,102.91,102.91,Apple Pay,USA
TXN_000022,CUST_00003,2025-12-22,Beauty,Beauty Item,1,128.26,128.26,Bank Transfer,USA
TXN_000023,CUST_00003,2026-02-04,Beauty,Beauty Item,1,102.57,102.57,Credit Card,USA
TXN_000024,CUST_00003,2026-01-31,Beauty,Beauty Item,2,30.15,60.3,PayPal,USA
TXN_000025,CUST_00003,2025-05-04,Beauty,Beauty Item,1,130.12,130.12,Bank Transfer,USA
TXN_000026,CUST_00003,2026-01-28,Sports,Sports Item,1,40.09,40.09,Debit Card,USA
TXN_000027,CUST_00003,2026-01-22,Beauty,Beauty Item,1,96.78,96.78,Apple Pay,USA
TXN_000028,CUST_00003,2025-12-10,Sports,Sports Item,1,363.34,363.34,Debit Card,USA
TXN_000029,CUST_00003,2026-01-17,Books,Books Item,1,58.12,58.12,Apple Pay,USA
TXN_000030,CUST_00003,2025-11-08,Sports,Sports Item,2,285.65,571.3,Apple Pay,USA
TXN_000031,CUST_00003,2025-12-29,Electronics,Electronics Item,1,965.06,965.06,Apple Pay,USA
TXN_000032,CUST_00003,2026-01-05,Fashion,Fashion Item,3,110.37,331.11,Credit Card,USA
TXN_000033,CUST_00003,2026-01-01,Sports,Sports Item,1,436.18,436.18,PayPal,USA
TXN_000034,CUST_00003,2026-02-04,Beauty,Beauty Item,1,86.64,86.64,Credit Card,USA
TXN_000035,CUST_00003,2025-12-25,Electronics,Electronics Item,1,1032.27,1032.27,PayPal,USA
TXN_000036,CUST_00003,2026-02-02,Sports,Sports Item,1,240.88,240.88,Debit Card,USA
TXN_000037,CUST_00003,2025-11-30,Home & Garden,Home & Garden Item,1,264.07,264.07,Apple Pay,USA
TXN_000038,CUST_00003,2026-01-28,Electronics,Electronics Item,1,90.3,90.3,Bank Transfer,USA
TXN_000039,CUST_00003,2025-12-09,Fashion,Fashion Item,2,32.76,65.52,Bank Transfer,USA
TXN_000040,CUST_00003,2025-09-01,Beauty,Beauty Item,1,151.8,151.8,PayPal,USA
TXN_000041,CUST_00004,2025-12-24,Electronics,Electronics Item,1,640.74,640.74,Bank Transfer,France
TXN_000042,CUST_00004,2025-07-25,Beauty,Beauty Item,2,130.31,260.62,Bank Transfer,France
TXN_000043,CUST_00004,2025-12-09,Toys,Toys Item,1,99.16,99.16,Debit Card,France
TXN_000044,CUST_00004,2025-09-27,Toys,Toys Item,1,187.9,187.9,Apple Pay,France
TXN_000045,CUST_00004,2025-12-22,Electronics,Electronics Item,2,1344.81,2689.62,Bank Transfer,France
TXN_000046,CUST_00004,2026-01-19,Electronics,Electronics Item,2,1093.47,2186.94,PayPal,France
TXN_000047,CUST_00004,2025-12-12,Fashion,Fashion Item,1,164.19,164.19,PayPal,France
TXN_000048,CUST_00004,2025-12-06,Home & Garden,Home & Garden Item,1,630.26,630.26,Bank Transfer,France
TXN_000049,CUST_00004,2026-01-13,Sports,Sports Item,1,166.35,166.35,Bank Transfer,France
TXN_000050,CUST_00004,2025-12-26,Fashion,Fashion Item,1,290.33,290.33,Credit Card,France
TXN_000051,CUST_00004,2026-01-27,Sports,Sports Item,1,512.28,512.28,Debit Card,France
TXN_000052,CUST_00005,2025-12-10,Electronics,Electronics Item,3,507.35,1522.05,Debit Card,Germany
TXN_000053,CUST_00005,2025-12-15,Books,Books Item,1,13.9,13.9,Credit Card,Germany
TXN_000054,CUST_00005,2025-06-23,Beauty,Beauty Item,3,82.94,248.82,Apple Pay,Germany
TXN_000055,CUST_00005,2026-01-29,Home & Garden,Home & Garden Item,1,166.41,166.41,Apple Pay,Germany
TXN_000056,CUST_00005,2025-08-01,Sports,Sports Item,1,235.71,235.71,Apple Pay,Germany
TXN_000057,CUST_00005,2025-09-29,Beauty,Beauty Item,1,100.98,100.98,Apple Pay,Germany
TXN_000058,CUST_00006,2026-01-22,Fashion,Fashion Item,4,502.47,2009.88,Bank Transfer,Australia
TXN_000059,CUST_00006,2025-09-17,Beauty,Beauty Item,5,59.34,296.7,PayPal,Australia
TXN_000060,CUST_00006,2026-01-05,Books,Books Item,2,59.55,119.1,Bank Transfer,Australia
TXN_000061,CUST_00006,2025-10-15,Books,Books Item,1,43.85,43.85,PayPal,Australia
TXN_000062,CUST_00006,2025-12-17,Electronics,Electronics Item,1,2694.56,2694.56,Credit Card,Australia
TXN_000063,CUST_00006,2025-11-27,Fashion,Fashion Item,2,493.76,987.52,Apple Pay,Australia
TXN_000064,CUST_00006,2026-01-27,Books,Books Item,2,31.88,63.76,PayPal,Australia
TXN_000065,CUST_00006,2026-01-21,Home & Garden,Home & Garden Item,3,97.13,291.39,Bank Transfer,Australia
TXN_000066,CUST_00006,2026-01-13,Fashion,Fashion Item,1,517.63,517.63,Debit Card,Australia
TXN_000067,CUST_00006,2025-10-20,Electronics,Electronics Item,2,2210.51,4421.02,Apple Pay,Australia
TXN_000068,CUST_00006,2025-12-07,Beauty,Beauty Item,1,164.15,164.15,Debit Card,Australia
TXN_000069,CUST_00006,2026-02-05,Electronics,Electronics Item,5,2483.57,12417.85,Apple Pay,Australia
TXN_000070,CUST_00006,2026-01-25,Books,Books Item,2,27.11,54.22,Credit Card,Australia
TXN_000071,CUST_00006,2026-01-01,Books,Books Item,2,49.29,98.58,Debit Card,Australia
TXN_000072,CUST_00006,2026-02-06,Home & Garden,Home & Garden Item,1,490.88,490.88,Apple Pay,Australia
TXN_000073,CUST_00006,2026-02-03,Sports,Sports Item,1,338.97,338.97,Debit Card,Australia
TXN_000074,CUST_00006,2025-12-24,Electronics,Electronics Item,2,2025.36,4050.72,PayPal,Australia
TXN_000075,CUST_00006,2025-11-04,Books,Books Item,2,18.15,36.3,Credit Card,Australia
TXN_000076,CUST_00006,2026-01-25,Fashion,Fashion Item,1,443.27,443.27,Credit Card,Australia
TXN_000077,CUST_00006,2026-01-13,Electronics,Electronics Item,2,432.47,864.94,PayPal,Australia
